Rank,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recoveries,Active Cases,Serious/Critical,Total Cases/1m Population,Total Deaths/1m Population,Total Tests,Total Tests/1m Population,Population,Continent
1,USA,32602051,NaN,583330,NaN,25177434,NaN,6841287,10009,98032,1754,433439646,1303328,332563810,North America
2,India,15930965,6159,184672,NaN,13454880,5474,2291413,8944,11454,133,272705103,196064,1390901395,Asia
3,Brazil,14122795,NaN,381687,NaN,12646132,NaN,1094976,8318,66064,1785,28600000,133786,213774168,South America
4,France,5374288,NaN,101881,NaN,4218294,NaN,1054113,5959,82188,1558,72936321,1115408,65389827,Europe
5,Russia,4736121,8996,107103,397,4361807,8934,267211,2300,32443,734,126800000,868583,145984885,Europe
6,Turkey,4446591,NaN,36975,NaN,3844342,NaN,565274,3398,52271,435,44728595,525800,85067708,Asia
7,UK,4395703,NaN,127327,NaN,4166734,NaN,101642,300,64479,1868,146043397,2142250,68172895,Europe
8,Italy,3904899,NaN,117997,NaN,3311267,NaN,475635,3076,64661,1954,55885251,925404,60390143,Europe
9,Spain,3446072,NaN,77364,NaN,3151587,NaN,217121,2288,73682,1654,44374223,948788,46769371,Europe
10,Germany,3208672,NaN,81382,NaN,2845300,21200,281990,4932,38199,969,54061332,643590,83999616,Europe
11,Argentina,2769552,NaN,60083,NaN,2424675,NaN,284794,4492,60831,1320,10421935,228908,45528947,South America
12,Poland,2731256,12762,64168,694,2380787,14557,286301,3229,72230,1697,13767550,364094,37813194,Europe
13,Colombia,2701313,NaN,69596,NaN,2521944,NaN,109773,5306,52638,1356,14052886,273837,51318345,South America
14,Iran,2335905,24092,68366,453,1837590,13632,429949,5038,27528,806,14854140,175052,84855437,Asia
15,Mexico,2315811,4639,213597,549,1839381,3004,262833,4798,17811,1643,6463391,49711,130020459,North America
16,Ukraine,1990353,16235,41266,470,1533303,18831,415784,177,45733,948,9089301,208846,43521622,Europe
17,Peru,1726806,NaN,58261,NaN,1653411,NaN,15134,2628,51794,1747,10582462,317409,33340173,South America
18,Indonesia,1626812,6243,44172,165,1481449,5993,101191,NaN,5898,160,14111521,51157,275845986,Asia
19,Czechia,1612832,2942,28787,25,1520263,213,63782,862,150381,2684,16478838,1536491,10724982,Europe
20,South Africa,1569935,NaN,53940,NaN,1495864,NaN,20131,546,26205,900,10413180,173818,59908639,Africa
21,Netherlands,1426243,NaN,16983,NaN,1190823,NaN,218437,817,83088,989,11781337,686342,17165404,Europe
22,Canada,1147464,NaN,23763,NaN,1037898,NaN,85803,1312,30190,625,30274366,796525,38008037,North America
23,Chile,1141403,NaN,25353,NaN,1074827,NaN,41223,3401,59300,1317,12508296,649847,19248054,South America
24,Romania,1039998,2989,26943,150,959126,4258,53929,1405,54353,1408,8022449,419276,19134054,Europe
25,Iraq,1001854,NaN,15098,NaN,877309,NaN,109447,517,24469,369,8938639,218315,40943818,Asia
26,Philippines,971049,8767,16370,105,846691,17138,107988,750,8768,148,11294085,101977,110750945,Asia
27,Belgium,960169,5113,23867,33,815404,2180,120898,926,82558,2052,12107176,1041011,11630213,Europe
28,Sweden,924340,NaN,13863,NaN,752021,7616,158456,403,91069,1366,8151774,803138,10149909,Europe
29,Israel,837492,NaN,6346,NaN,829127,NaN,2019,173,91056,690,14014683,1523734,9197590,Asia
30,Portugal,832255,NaN,16952,NaN,790650,NaN,24653,110,81812,1666,9958289,978920,10172727,Europe
31,Pakistan,778238,5857,16698,98,676605,3986,84935,4593,3469,74,11377423,50719,224324332,Asia
32,Hungary,760967,3607,26001,214,469592,4842,265374,876,78934,2697,5205923,540002,9640567,Europe
33,Bangladesh,736074,4014,10781,98,642449,7266,82844,NaN,4434,65,5277112,31788,166007114,Asia
34,Jordan,695390,NaN,8429,NaN,654493,NaN,32468,729,67615,820,6546769,636568,10284484,Asia
35,Serbia,670801,NaN,6095,NaN,604174,NaN,60532,228,77024,700,3726602,427904,8708972,Europe
36,Switzerland,642131,NaN,10546,NaN,573786,NaN,57799,226,73762,1211,6663629,765450,8705502,Europe
37,Austria,602494,2405,10026,29,565513,2257,26955,527,66591,1108,29905570,3305311,9047733,Europe
38,Japan,541496,NaN,9710,NaN,488944,NaN,42842,791,4292,77,11079602,87819,126164132,Asia
39,Lebanon,515088,NaN,7027,NaN,433987,NaN,74074,721,75740,1033,3870650,569148,6800778,Asia
40,Morocco,507338,NaN,8969,NaN,493353,NaN,5016,218,13616,241,6186340,166024,37261672,Africa
41,UAE,504872,2081,1565,4,486920,1842,16387,NaN,50556,157,42496398,4255471,9986297,Asia
42,Saudi Arabia,408038,NaN,6858,NaN,391362,NaN,9818,1145,11576,195,16352116,463911,35248367,Asia
43,Bulgaria,392913,NaN,15618,NaN,318208,NaN,59087,786,56893,2261,2405956,348377,6906193,Europe
44,Malaysia,384688,2875,1407,7,361267,2541,22014,248,11765,43,8849606,270641,32698684,Asia
45,Slovakia,378150,677,11357,53,255300,NaN,111493,387,69236,2079,2527366,462737,5461773,Europe
46,Ecuador,362843,NaN,17804,NaN,309541,NaN,35498,650,20318,997,1236484,69241,17857786,South America
47,Panama,361678,NaN,6196,NaN,351582,NaN,3900,105,82779,1418,2321435,531319,4369196,North America
48,Belarus,347316,NaN,2453,NaN,337620,NaN,7243,NaN,36765,260,5705532,603963,9446818,Europe
49,Greece,323639,NaN,9713,NaN,278690,NaN,35236,831,31173,936,7629407,734871,10381961,Europe
50,Croatia,316308,2885,6738,46,293454,2103,16116,226,77435,1650,1734234,424555,4084825,Europe
51,Azerbaijan,305933,NaN,4235,NaN,269965,NaN,31733,NaN,29956,415,3141335,307594,10212599,Asia
52,Georgia,300264,1226,3981,10,283557,688,12726,NaN,75387,999,3974715,997922,3982992,Asia
53,Kazakhstan,297839,2893,3483,24,254971,2373,39385,221,15711,184,9709890,512207,18956949,Asia
54,Bolivia,293061,1386,12731,36,241563,1227,38767,71,24834,1079,1082188,91705,11800723,South America
55,Tunisia,291833,NaN,9993,NaN,242238,NaN,39602,493,24487,838,1249409,104834,11917920,Africa
56,Nepal,289787,NaN,3112,NaN,276093,NaN,10582,NaN,9805,105,2369401,80165,29556378,Asia
57,Palestine,286028,NaN,3096,NaN,254199,NaN,28733,165,55046,596,1698129,326805,5196155,Asia
58,Dominican Republic,262404,NaN,3435,NaN,219645,NaN,39324,188,23996,314,1378669,126075,10935274,North America
59,Kuwait,261307,NaN,1482,NaN,244410,NaN,15415,233,60471,343,2246134,519794,4321201,Asia
60,Paraguay,257706,NaN,5561,NaN,211739,NaN,40406,508,35778,772,1039557,144326,7202841,South America
61,Moldova,247391,NaN,5643,NaN,234204,NaN,7544,243,61442,1401,949995,235941,4026402,Europe
62,Ethiopia,246484,NaN,3474,NaN,183932,NaN,59078,1059,2102,30,2521604,21509,117237164,Africa
63,Denmark,244868,NaN,2465,NaN,232899,NaN,9504,41,42156,424,33208745,5717148,5808621,Europe
64,Ireland,244695,NaN,4856,NaN,226263,NaN,13576,47,49115,975,4332959,869712,4982064,Europe
65,Lithuania,237950,1344,3818,14,215031,1061,19101,201,88406,1419,2671655,992609,2691549,Europe
66,Slovenia,234067,NaN,4176,NaN,217715,NaN,12176,153,112577,2008,1140099,548344,2079168,Europe
67,Costa Rica,233498,NaN,3115,NaN,199379,NaN,31004,284,45503,607,919324,179153,5131488,North America
68,Egypt,218902,NaN,12866,NaN,164803,NaN,41233,90,2107,124,2677262,25773,103879157,Africa
69,Guatemala,216329,NaN,7309,NaN,193313,NaN,15707,5,11899,402,1187042,65291,18180845,North America
70,Armenia,211399,881,3969,25,191158,887,16272,NaN,71233,1337,951500,320618,2967704,Asia
71,Honduras,203359,946,4981,5,77020,574,121358,546,20273,497,567813,56607,10030833,North America
72,Qatar,199180,NaN,400,NaN,176188,NaN,22592,457,70938,142,1854566,660504,2807805,Asia
73,Bosnia and Herzegovina,193115,NaN,8082,NaN,150458,NaN,34575,NaN,59159,2476,880667,269784,3264341,Europe
74,Venezuela,186745,NaN,1965,NaN,169685,NaN,15095,293,6582,69,3359014,118396,28370951,South America
75,Oman,185278,1508,1942,16,165051,1301,18285,266,35560,373,1550000,297488,5210290,Asia
76,Libya,174216,533,2936,12,159630,739,11650,NaN,25081,423,940305,135369,6946230,Africa
77,Uruguay,172601,NaN,2083,NaN,142549,NaN,27969,523,49549,598,1675577,481015,3483421,South America
78,Bahrain,167165,NaN,607,NaN,155768,NaN,10790,96,95599,347,3949992,2258945,1748600,Asia
79,Nigeria,164488,NaN,2061,NaN,154441,NaN,7986,11,782,10,1870915,8900,210218749,Africa
80,Kenya,153488,NaN,2540,NaN,105279,NaN,45669,240,2805,46,1618990,29588,54718020,Africa
81,North Macedonia,148618,NaN,4556,NaN,125593,NaN,18469,124,71338,2187,698132,335108,2083305,Europe
82,Myanmar,142674,13,3206,NaN,131914,6,7554,NaN,2608,59,2561910,46833,54703089,Asia
83,Albania,129980,NaN,2358,NaN,103066,NaN,24556,18,45206,820,610869,212457,2875264,Europe
84,Algeria,120174,NaN,3172,NaN,83765,NaN,33237,19,2701,71,230861,5190,44484988,Africa
85,Estonia,119218,436,1120,11,105471,818,12627,58,89823,844,1249765,941617,1327254,Europe
86,S. Korea,116661,735,1808,2,106459,582,8394,125,2274,35,8537505,166408,51304734,Asia
87,Latvia,113561,578,2088,9,103230,634,8243,78,60749,1117,2180142,1166265,1869336,Europe
88,Norway,109137,NaN,734,NaN,88952,NaN,19451,44,20006,135,5009274,918238,5455313,Europe
89,Sri Lanka,98050,NaN,630,NaN,93884,216,3536,NaN,4564,29,2374627,110522,21485504,Asia
90,Cuba,96760,NaN,547,NaN,91034,NaN,5179,62,8547,48,3429088,302895,11321043,North America
91,Montenegro,96048,NaN,1444,NaN,91679,NaN,2925,69,152911,2299,364369,580085,628130,Europe
92,Kyrgyzstan,93006,380,1566,5,87554,164,3886,25,14070,237,950899,143848,6610425,Asia
93,Ghana,91783,NaN,772,NaN,89661,NaN,1350,9,2905,24,1049742,33228,31591626,Africa
94,Zambia,91119,NaN,1238,NaN,88956,NaN,925,42,4848,66,1360648,72396,18794465,Africa
95,Uzbekistan,87935,384,640,NaN,85007,290,2288,23,2597,19,1377915,40697,33858092,Asia
96,Finland,85077,280,902,3,46000,NaN,38175,37,15336,163,4337925,781939,5547653,Europe
97,Mozambique,69437,NaN,805,NaN,62342,NaN,6290,43,2173,25,507194,15873,31953627,Africa
98,El Salvador,68007,NaN,2089,3,64074,NaN,1844,59,10442,321,894988,137425,6512536,North America
99,Luxembourg,65604,NaN,788,NaN,61791,NaN,3025,30,103454,1243,2589959,4084226,634137,Europe
100,Cameroon,64809,NaN,939,NaN,57821,NaN,6049,385,2394,35,1257949,46464,27073410,Africa
101,Singapore,60904,24,30,NaN,60576,NaN,298,1,10345,5,9278789,1576062,5887323,Asia
102,Cyprus,58865,NaN,295,NaN,39061,NaN,19509,71,48471,243,4508669,3712596,1214425,Asia
103,Afghanistan,58542,196,2565,4,52348,47,3629,1124,1477,65,390541,9855,39628962,Asia
104,Thailand,48113,1470,117,7,29848,477,18148,1,688,2,8124896,116168,69941012,Asia
105,Namibia,46954,NaN,609,NaN,45039,NaN,1306,33,18215,236,374942,145454,2577744,Africa
106,Ivory Coast,45697,NaN,277,NaN,45227,NaN,193,NaN,1699,10,573182,21308,26899793,Africa
107,Botswana,44702,NaN,684,NaN,39733,NaN,4285,1,18707,286,976728,408740,2389608,Africa
108,Jamaica,44337,NaN,744,NaN,20070,NaN,23523,29,14920,250,318544,107197,2971568,North America
109,Uganda,41475,NaN,341,NaN,40898,NaN,236,24,884,7,996140,21244,46891054,Africa
110,Senegal,39975,65,1097,1,38719,51,159,9,2338,64,469269,27449,17095982,Africa
111,Zimbabwe,37980,NaN,1555,NaN,35065,NaN,1360,12,2526,103,404405,26895,15036385,Africa
112,Madagascar,34069,477,579,10,27152,542,6338,336,1206,20,172240,6095,28259161,Africa
113,Malawi,33975,NaN,1142,NaN,31852,NaN,981,15,1740,58,228399,11698,19524446,Africa
114,Sudan,32611,NaN,2289,NaN,26324,NaN,3998,NaN,730,51,232965,5216,44667151,Africa
115,Malta,30096,33,411,NaN,29166,36,519,NaN,68015,929,853286,1928374,442490,Europe
116,Australia,29588,14,910,NaN,26458,4,2220,NaN,1150,35,16481110,640358,25737355,Australia/Oceania
117,DRC,29233,NaN,748,NaN,26108,NaN,2377,NaN,319,8,145687,1588,91730216,Africa
118,Maldives,26920,NaN,71,NaN,23935,NaN,2914,83,49109,130,695905,1269513,548167,Asia
119,Mongolia,26692,1328,61,5,13772,426,12859,88,8038,18,2606797,785041,3320589,Asia
120,Angola,24883,NaN,570,NaN,22882,NaN,1431,24,739,17,449666,13351,33680369,Africa
121,Rwanda,24112,NaN,327,NaN,22579,NaN,1206,6,1825,25,1269302,96097,13208558,Africa
122,Gabon,22228,NaN,136,NaN,18908,NaN,3184,28,9802,60,703735,310332,2267685,Africa
123,Guinea,21745,79,139,NaN,19080,76,2526,24,1621,10,423364,31554,13416924,Africa
124,Syria,21584,NaN,1483,NaN,15216,NaN,4885,NaN,1210,83,103566,5805,17840151,Asia
125,Cabo Verde,21179,NaN,198,NaN,18500,NaN,2481,23,37763,353,142081,253338,560835,Africa
126,Mayotte,19849,NaN,169,NaN,2964,NaN,16716,7,71381,608,165683,595828,278072,Africa
127,Réunion,19343,NaN,141,NaN,17653,NaN,1549,36,21482,157,100098,111165,900449,Africa
128,French Polynesia,18722,NaN,141,NaN,4842,NaN,13739,4,66340,500,26355,93387,282214,Australia/Oceania
129,French Guiana,18545,NaN,96,NaN,9995,NaN,8454,12,60831,315,205111,672804,304860,South America
130,Eswatini,18423,NaN,671,NaN,17721,NaN,31,3,15749,574,179840,153734,1169810,Africa
131,Mauritania,18175,NaN,454,NaN,17540,NaN,181,14,3829,96,224477,47286,4747175,Africa
132,Guadeloupe,13669,NaN,185,NaN,2242,NaN,11242,23,34157,462,171662,428963,400179,North America
133,Somalia,13459,NaN,689,NaN,5593,NaN,7177,NaN,828,42,107545,6619,16246778,Africa
134,Mali,13336,NaN,451,NaN,7646,NaN,5239,NaN,644,22,248587,12000,20715746,Africa
135,Tajikistan,13308,NaN,90,NaN,13218,NaN,0,NaN,1371,9,NaN,NaN,9708844,Asia
136,Burkina Faso,13167,NaN,155,NaN,12812,NaN,200,NaN,616,7,177733,8321,21360401,Africa
137,Haiti,12944,NaN,251,NaN,11945,NaN,748,NaN,1124,22,60085,5218,11514071,North America
138,Andorra,12917,NaN,123,NaN,12334,NaN,460,25,166962,1590,193595,2502359,77365,Europe
139,Togo,12657,NaN,121,NaN,10431,NaN,2105,NaN,1501,14,302679,35889,8433723,Africa
140,Belize,12585,NaN,318,NaN,12164,NaN,103,1,31197,788,112281,278332,403407,North America
141,Guyana,12132,NaN,274,NaN,10442,NaN,1416,12,15365,347,111885,141697,789606,South America
142,Curaçao,11983,NaN,95,NaN,9820,NaN,2068,22,72786,577,90143,547539,164633,North America
143,Hong Kong,11719,14,209,NaN,11315,13,195,3,1553,28,11193673,1483419,7545862,Asia
144,Lesotho,10720,NaN,316,NaN,5975,NaN,4429,NaN,4972,147,74675,34638,2155898,Africa
145,Djibouti,10633,NaN,129,NaN,9801,NaN,703,NaN,10638,129,145526,145596,999519,Africa
146,Martinique,10611,NaN,68,NaN,98,NaN,10445,24,28294,181,149454,398512,375030,North America
147,South Sudan,10486,NaN,114,NaN,10250,NaN,122,NaN,928,10,144957,12829,11299054,Africa
148,Aruba,10437,NaN,94,NaN,9978,NaN,365,14,97423,877,142254,1327851,107131,North America
149,Papua New Guinea,10338,NaN,99,NaN,7364,NaN,2875,NaN,1138,11,73276,8068,9082662,Australia/Oceania
150,Congo,10084,NaN,139,NaN,8208,NaN,1737,NaN,1792,25,92500,16440,5626534,Africa
151,Bahamas,9868,NaN,194,NaN,9140,NaN,534,3,24903,490,83288,210184,396262,North America
152,Suriname,9791,NaN,189,NaN,8937,NaN,665,14,16571,320,48136,81468,590855,South America
153,Trinidad and Tobago,9216,NaN,157,NaN,8036,NaN,1023,8,6568,112,123309,87881,1403136,North America
154,Cambodia,8193,446,59,5,2924,130,5210,NaN,485,3,811284,47992,16904519,Asia
155,Benin,7720,NaN,97,NaN,7510,NaN,113,35,624,8,581843,47012,12376574,Africa
156,Equatorial Guinea,7505,NaN,106,NaN,7016,NaN,383,11,5213,74,116266,80759,1439661,Africa
157,Nicaragua,6835,NaN,181,NaN,4225,NaN,2429,NaN,1022,27,NaN,NaN,6687807,North America
158,Iceland,6362,NaN,29,NaN,6213,NaN,120,3,18547,85,580974,1693683,343024,Europe
159,CAR,6175,NaN,85,NaN,5112,NaN,978,2,1261,17,40907,8353,4897014,Africa
160,Yemen,5960,NaN,1147,NaN,2309,NaN,2504,23,196,38,22934,756,30351024,Asia
161,Gambia,5788,NaN,171,NaN,5248,NaN,369,3,2343,69,62005,25095,2470799,Africa
162,Niger,5141,NaN,191,NaN,4812,NaN,138,23,206,8,96317,3868,24902885,Africa
163,San Marino,5044,NaN,88,NaN,4794,NaN,162,4,148405,2589,59151,1740350,33988,Europe
164,Seychelles,5016,NaN,25,NaN,4551,NaN,440,NaN,50750,253,21504,217570,98837,Africa
165,Chad,4731,NaN,169,NaN,4368,NaN,194,NaN,282,10,111158,6616,16801566,Africa
166,Saint Lucia,4444,NaN,70,NaN,4272,NaN,102,NaN,24113,380,39084,212065,184302,North America
167,Gibraltar,4291,NaN,94,NaN,4181,NaN,16,1,127394,2791,226510,6724757,33683,Europe
168,Channel Islands,4055,NaN,86,NaN,3956,NaN,13,1,23152,491,399901,2283192,175150,Europe
169,Sierra Leone,4042,NaN,79,NaN,2883,NaN,1080,NaN,499,10,119155,14698,8106735,Africa
170,Comoros,3822,NaN,146,NaN,3645,NaN,31,NaN,4322,165,NaN,NaN,884412,Africa
171,Barbados,3797,NaN,44,NaN,3704,NaN,49,NaN,13200,153,149826,520848,287658,North America
172,Guinea-Bissau,3713,NaN,66,NaN,3170,NaN,477,9,1852,33,62111,30976,2005155,Africa
173,Burundi,3706,NaN,6,NaN,773,NaN,2927,NaN,304,0,90019,7395,12172940,Africa
174,Eritrea,3564,NaN,10,NaN,3389,NaN,165,NaN,994,3,23693,6607,3585783,Africa
175,Liechtenstein,2851,2,57,1,2715,7,79,7,74602,1492,32252,843940,38216,Europe
176,Vietnam,2812,6,35,NaN,2490,NaN,287,NaN,29,0,2598753,26506,98042214,Asia
177,New Zealand,2600,1,26,NaN,2494,4,80,NaN,520,5,1987958,397425,5002100,Australia/Oceania
178,Monaco,2422,NaN,31,NaN,2308,NaN,83,3,61369,785,51953,1316399,39466,Europe
179,Turks and Caicos,2371,NaN,17,NaN,2316,NaN,38,2,60582,434,47181,1205534,39137,North America
180,Sao Tome and Principe,2288,NaN,35,NaN,2225,NaN,28,NaN,10287,157,12597,56637,222417,Africa
181,Bermuda,2226,NaN,20,NaN,1313,NaN,893,35,35850,322,228306,3676899,62092,North America
182,Sint Maarten,2212,NaN,27,NaN,2161,NaN,24,1,51124,624,26322,608362,43267,North America
183,Liberia,2091,NaN,85,NaN,1936,NaN,70,2,406,16,92799,18010,5152640,Africa
184,St. Vincent Grenadines,1827,NaN,10,NaN,1703,NaN,114,2,16426,90,44359,398826,111224,North America
185,Saint Martin,1702,NaN,12,NaN,1399,NaN,291,7,43425,306,27588,703883,39194,North America
186,Isle of Man,1582,NaN,29,NaN,1543,NaN,10,1,18526,340,44761,524164,85395,Europe
187,Caribbean Netherlands,1553,NaN,15,NaN,1462,NaN,76,NaN,58783,568,10025,379462,26419,North America
188,Timor-Leste,1509,NaN,2,NaN,760,NaN,747,NaN,1127,1,59291,44295,1338541,Asia
189,Antigua and Barbuda,1217,NaN,31,NaN,995,NaN,191,4,12345,314,16493,167304,98581,North America
190,Mauritius,1204,NaN,15,NaN,987,NaN,202,NaN,945,12,358675,281652,1273468,Africa
191,Taiwan,1086,4,11,NaN,1041,3,34,NaN,46,0,513203,21517,23851495,Asia
192,Bhutan,986,NaN,1,NaN,883,NaN,102,NaN,1267,1,677407,870223,778429,Asia
193,St. Barth,934,NaN,1,NaN,462,NaN,471,NaN,94334,101,26385,2664882,9901,North America
194,Diamond Princess,712,NaN,13,NaN,699,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,
195,Faeroe Islands,663,NaN,1,NaN,660,NaN,2,NaN,13527,20,250074,5102301,49012,Europe
196,Cayman Islands,531,NaN,2,NaN,509,NaN,20,NaN,8004,30,87503,1318988,66341,North America
197,Tanzania,509,NaN,21,NaN,183,NaN,305,7,8,0,NaN,NaN,61090545,Africa
198,Wallis and Futuna,440,NaN,5,NaN,44,NaN,391,4,39711,451,12359,1115433,11080,Australia/Oceania
199,Brunei ,223,NaN,3,NaN,210,NaN,10,NaN,506,7,118338,268435,440844,Asia
200,British Virgin Islands,194,NaN,1,NaN,183,NaN,10,NaN,6383,33,37158,1222584,30393,North America
201,Dominica,172,NaN,NaN,NaN,165,NaN,7,NaN,2385,NaN,14384,199418,72130,North America
202,Grenada,157,NaN,1,NaN,154,NaN,2,NaN,1390,9,25623,226867,112943,North America
203,New Caledonia,124,NaN,NaN,NaN,58,NaN,66,NaN,431,NaN,29618,102946,287703,Australia/Oceania
204,Laos,94,6,NaN,NaN,49,NaN,45,NaN,13,NaN,150159,20401,7360203,Asia
205,Fiji,86,8,2,NaN,65,NaN,19,NaN,95,2,44481,49332,901667,Australia/Oceania
206,Falkland Islands,62,NaN,NaN,NaN,55,NaN,7,NaN,17411,NaN,7191,2019377,3561,South America
207,Macao,49,NaN,NaN,NaN,48,NaN,1,NaN,75,NaN,4418,6730,656434,Asia
208,Saint Kitts and Nevis,44,NaN,NaN,NaN,44,NaN,0,NaN,822,NaN,12381,231412,53502,North America
209,Greenland,31,NaN,NaN,NaN,31,NaN,0,NaN,545,NaN,20669,363577,56849,North America
210,Anguilla,29,NaN,NaN,NaN,25,NaN,4,NaN,1919,NaN,17376,1149891,15111,North America
211,Vatican City,27,NaN,NaN,NaN,15,NaN,12,NaN,33624,NaN,NaN,NaN,803,Europe
212,Saint Pierre Miquelon,25,NaN,NaN,NaN,24,NaN,1,NaN,4332,NaN,5318,921504,5771,North America
213,Montserrat,20,NaN,1,NaN,19,NaN,0,NaN,4005,200,1313,262915,4994,North America
214,Solomon Islands,20,NaN,NaN,NaN,18,NaN,2,NaN,29,NaN,4500,6426,700334,Australia/Oceania
215,Western Sahara,10,NaN,1,NaN,8,NaN,1,NaN,16,2,NaN,NaN,609065,Africa
216,MS Zaandam,9,NaN,2,NaN,7,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,
217,Vanuatu,4,NaN,1,NaN,1,NaN,2,NaN,13,3,470,1502,312879,Australia/Oceania
218,Marshall Islands,4,NaN,NaN,NaN,4,NaN,0,NaN,67,NaN,NaN,NaN,59511,Australia/Oceania
219,Samoa,3,NaN,NaN,NaN,2,NaN,1,NaN,15,NaN,NaN,NaN,199474,Australia/Oceania
220,Micronesia,1,NaN,NaN,NaN,1,NaN,0,NaN,9,NaN,NaN,NaN,115991,Australia/Oceania
